,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result,Id
599,Masters,Masters,Bard College,Self,Partial Financial Aid,,,,599
606,Computer Sciences,Bachelors,University of Pacific,Father,,"Paternal Uncle, Grandparents, Dada Abu, Dado Ami",Second,Refused,606
607,,,,,,Wife,First,Refused,607
612,Computer Science with Information and Communication Technology,Masters,Old Dominion University,Uncle,,Brother-in-law,Second,Refused,612
613,Structural Engineering PhD,PhD,Caltech,,Fully funded,,First,Approved,613
615,MS Digital Supply Chain Management,Masters,California State Uni Pomona Campus,Father,,,Third,Refused,615
616,,,,,,,,Administrative Processing,616
617,,,,,,Friend,First,Refused,617
618,Mech and Aerospace Engineering,,,Father,,,First,Approved,618
619,PhD,,University of Kentucky Lexington,,,,,,619
621,Postdoc,,"University of Washington, Seattle",Postdoc Supervisor,,Spouse and Toddler,First,Approved,621
622,Ph.D.,,Michigan State University,,Fully Funded,,First,Administrative Processing,622
624,MS Civil Engineering,Masters,"University of Washington, North Carolina State University, Iowa State University",,,,,,624
625,N/A (not mentioned),N/A (not mentioned),Mississippi State University,Father,100%,,N/A (not mentioned),N/A (not mentioned),625
626,CS,Bachelors,USF,Family,12k USD/year,,,,626
627,Computer Science,Bachelors,Adelphi University,Father,,Mother,First,Refused,627
630,MBA,Masters,"Cornell, University of Texas Austin Mccombs, Michigan Ross",,,,,,630
631,Computer Science,Bachelors,Minnesota State University Mankato,Father,45%,,First,Approved,631
632,PhD,Doctoral,Oregon State University,University,Yes,,First,,632
633,Mechanical Engineering,Masters,Cleveland State,Father,,,Second,Refused,633
637,Mechanical Engineering,Masters,University of Pennsylvania or University of Illinois at Urbana Champaign,,,,,,637
638,Computer Science,Masters,Maharishi International University,Self,Yes,,First,Refused,638
641,,,,,,Engaged to US Citizen,First,Rejected,641
643,,,,,,,,Refused/Unknown,643
646,Exchange Visitor Research,,University of Michigan Ann Arbor,HEC,Fully funded,Distant relatives and husband's brother in US,First,Approved,646
648,MBA,,,Father-in-law,,,First,Rejected,648
650,Business,F-1 Univsersity,Hult International Business School,,,,First,Approved,650
651,Pathway,,UCF,Brother,,,Second,Refused,651
653,General Studies,,Loyola,,,,First,Approved,653
655,Computer Science,Bachelors,Queens College NY,,,,Second,,655
657,Psychology PhD,PhD,Not mentioned,,,,First,Approved,657
659,Computer Science,Masters,University of North Carolina Charlotte,Father,,,First,Rejected,659
661,,,,Self,,No,First,Refused,661
662,Economics,,Illinois State University,,,,First,Approved,662
663,Engineering,Masters,University of Cincinnati,Father,20k,,First,Approved,663
664,Business,Masters,University of Cincinnati,Father,20k,,First,Approved,664
665,Information Technology,Masters,University of Cincinnati,Father,20k,,First,Approved,665
666,Physics,PhD,University of Cincinnati,University,Assistantship,,First,Approved,666
667,Civil Engineering,Masters,Arizona State University,Father,,,First,Refused,667
668,Engineering,Masters,University of Houston,Father,,,First,Approved,668
669,MBA,Masters,Gannon University,Self,,,First,Refused,669
670,Chemical and Biomolecular Engineering,Masters,North Dakota University,,Assistantship,,First,Approved,670
671,Electrical Engineering,Masters,University of Southern California,,10%,,First,Approved,671
672,Computer Science,Bachelors,Dayton University,Father,,Brother,Second,Refused,672
674,Pharmacy,Bachelors,SDSU,Father,,,First,Refused,674
675,Computer Science,Masters,City University of Seattle,Father,,N/A s,First,Refused,675
676,,,,Father,Yes,,Second,Refused,676
677,MBA with concentration in Business Analytics,Masters,University of Dallas (UD),Sister,,"Sister
s","First
Visa Status",Refused,677
679,Business Administration and Management,Masters,LIU Brooklyn Campus,Father's Elder Brother,,Uncle,First,Refused,679
680,Doctorate of Business Administration,PhD,,Self,,,First,Refused,680
681,Cyber Security,Masters,UD (University not specified),Uncle,,Uncle,First,Refused,681
682,MSBA,Masters,University of Hartford,Father,"$4,000 ",No s,First,Refused,682
683,Computer Science,Bachelors,University of Central Florida,,,N/A s,First,Refused,683
685,,,,,,Brother and nephews,First,Refused,685
686,Cyber Security,Bachelors,Arkansas Tech University,Self,,N/A s,First,Refused,686
688,Computer Science,Masters,University of the Pacific,Father,,N/A s,Second,Approved,688
689,Computer Software Technology,,,Father,,"Brother
s",First,Refused,689
690,Computer Science,Masters,Maharishi International University,,,,First,Refused,690
691,Computer Science,,Saint Louis University,Parents,Yes,Uncle,First,Refused,692
693,Accountancy,Bachelors,DePaul University,Father,Yes,N/A s,Second,Refused,694
696,Computing and Information Sciences,PhD,,Fully funded PhD scholarship,Yes,,First,Refused,697
697,Computer Science,Bachelors,Missouri State University,Father,,N/A s,Second,Refused,698
698,Mechanical Engineering,Masters,,Father,Yes,,First,Refused,699
699,Computer Science,Bachelors,University of Illinois at Chicago,Father,,N/A s,First,Refused,700
700,BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected,701
701,Data Science,Masters,University of New Haven,Father,,N/A s,Second,Refused,702
702,Finance,Masters,Illinois Institute of Technology,,Yes,N/A s,Second,Refused,703
704,Master's,Masters,Texas Tech State University,,Yes,N/A s,First,Refused,705
705,Structural Engineering,PhD,Caltech,,Fully funded,N/A s,First,Refused,706
706,Exercise Science,Bachelors,Central Michigan University,Father,50%,,First,Refused,707
712,Entertainment Business,Masters,Full Sail University,Father,,N/A s,First,Refused,713
713,Biotechnology,Masters,Texas Tech University,Loan and waivers,,N/A s,First,Refused,714
714,Business Administration and Management,,Xyz Community College,Father,,,First,Refused,715
715,MBA,Masters,New York Institute of Technology,Father,,N/A s,First,Refused,716
718,Engineering Management,Masters,St. Cloud State University,Self and Father,,Brother s,First,Refused,719
719,Business Administration and Management,Bachelors,Troy University,Father,,None s,Second,Refused,720
720,Flight Training,,,Father and Cousin,,N/A s,Second,Refused,721
722,Information Technology,Bachelors,,Father,Yes,,Second,Refused,723
723,Business Analytics,Masters,University of Dallas,,,,Second,Refused,724
724,Data Analytics and Strategic Business Intelligence,,LIU,Brother,,N/A s,First,Refused,725
727,,,Miami University,,,,2nd,Refused,728
729,ECE,Bachelors,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle s,Third,Refused,730
730,Computer Science,Bachelors,San Francisco State University,Father and Brother,"$5,000 ",N/A s,Second,Refused,731
731,,,,,,,Second,"Refused, then issued",732
732,Business Administration,Bachelors,,Uncle,,,First,Refused,733
733,Marketing,Bachelors,St. Louis University,Father,,,Second,Refused,734
734,MS in Information Technology,Masters,Gannon University,Father,,N/A s,Second,Refused,735
738,Computer Science,Masters,DePaul University,,,N/A s,Second,Refused,739
739,Electrical Engineering,,,Father,,,Second,Approved,740
740,Technology Management,Masters,,Parents,,,First,Refused,741
742,Food Technology and Processing,,Minnesota State University Mankato,Mother,,N/A s,First,Refused,744
744,Architecture,,Tacoma Community College,,,N/A s,First,Refused,746
751,Nutrition Psychology,,Illinois State University,,,,Second,,753
754,Business Analytics,Masters,Mercer University,Self,,,First,Refused,756
756,Industrial Engineering,Masters,University of Houston,Self and Father,,None s,First,Approved,758
757,Computer Science,Undergrad,University of Southern California,Family,Partial,Aunt,First,Approved,759
758,Mechanical Engineering,Bachelors,Eastern Michigan University,Father,,,First,Approved,760
759,PhD,PhD,University of California,,,,,,761
760,Nursing,Bachelors,Central Michigan University,Mother,Yes,No,First,Approved,762
762,Marketing Analytics,Masters,Pace,Father,,No,First,Approved,764
763,Computer Science,,USF,,Yes,,First,Approved,765
764,Computer Engineering,Masters,City University of New York,Aunt and Uncle,,Aunt and Uncle,First,Approved,766
765,,,,,Fully funded,,First,Approved,767
766,Mechanical Engineering,Masters,Southern Illinois University Edwardsville,Father,Yes,One brother,First,Approved,768
767,Graphic Designing,Masters,Mississippi College,Mother's friend,,Distant relatives s,First,Rejected,769
768,Business Analytics,Masters,,Father,,Yes s,First,Approved,770
771,Biotechnology,Masters,UTSA,Father,,Distant cousin s,First,Approved,773
772,,,,,,,Fourth,Refused,774
773,Computer Science,Masters,DePaul,Parents,,Two sisters,First,Approved,775
774,Construction Management,Masters,University of North Texas,Father,,"N/A
s","First
Visa Status",Approved,776
775,Data Science,Masters,,Self,,No s,Second,Approved,777
776,Business Administration,Bachelors,University of South Alabama,Father,,Sister s,Third,Approved,778
777,Physics,PhD,Oklahoma State University,,Fully funded,No s,Second,Approved,779
780,Environmental Science,PhD,,Father,University and Professor,N/A s,First,Approved,782
781,LLM,Masters,Illinois Institute of Technology,Father,Yes,,First,Approved,783
782,,,University of Kansas,Father,Yes,Yes,First,Approved,784
783,Public Informatics and Urban Planning,Masters,Rutgers University,Family,60%,Brothers,First,Approved,785
784,Nutrition and Dietetics,Bachelors,SEMO,Mother,,,First,Approved,786
786,Psychology,Bachelors,University of North Texas,Father,,No s,First,Approved,788
787,Curriculum and Instruction,PhD,Virginia Tech,,100% assistantship,,First,Approved,789
788,Project Management,Masters,Northeastern University,Father,,N/A s,Second,Approved,790
790,Physics,Bachelors,Saginaw Valley State University,Uncle,50%,Uncle,First,Approved,792
791,International Business,Bachelors,"University of Minnesota, Mankato",Father,$8k,Brother s,First,Approved,793
792,Bachelor of Agriculture,Bachelors,Southwest Minnesota State University,Father,,N/A s,Second,Approved,794
793,MAS Power Engineering,Masters,IIT Chicago,Father,,"2 brothers, 2 sisters",First,Approved,795
794,Energy Systems,Masters,Illinois Institute of Technology,Father,,N/A s,First,Approved,796
795,Information Systems,Masters,Cleveland State University,Mother,,No s,First,Approved,797
796,Business Administration,Bachelors,University of Utah,Father,Yes,,First,Rejected,798
797,MBA,Masters,Top 10 MBA school,Private loan,Yes,,First,Approved,799
798,Computer Science,Bachelors,University of Illinois at Chicago,Father,,No s,First,Approved,800
799,Business,Bachelors,California State University,Father,,N/A s,Third,Approved,801
800,Data Science,Masters,Stevens Institute of Technology,and Student Loan,Yes,No s,First,Approved,802
802,Biomedical Engineering,PhD,The Ohio State University,,Fully funded,,First,Approved,804
803,CS,MS,TU,and Student Loan,Yes,Yes,First,Approved,805
804,Computer Science,PhD,Stony Brook,Fully funded,Yes,,First,Approved,806
805,Business Analytics,Masters,University of Central Oklahoma,Father,Partial,Brother-in-law s,Second,Approved,807
808,Data Analytics,Masters,New Mexico State University,Father,,Brother s,First,Approved,810
811,,Masters,University of Cumberlands,Brother,,"Sisters and Brother
s",First,Approved,813
812,Chemistry,PhD,University of Tulsa,,Research Assistantship,,,,814
813,Public Health,Masters,,Parents,,Brother,First,Approved,815
814,LLM,Masters,,,Fully/Partially Funded,,,,816
815,Computer Science,Undergraduate,University of Connecticut,Father,Yes,N/A s,First,Approved,817
816,,,,Self,,"Spouse, Child",First,Approved,818
817,Master's,Master's,Not mentioned,xyz,,N/A s,First,Approved,819
819,Computer Science,Bachelors,The University of Southern Mississippi,Father,100%,N/A s,,,821
820,Civil Engineering,PhD,University of Kansas,,Yes,N/A s,First,Approved,822
821,Business Analytics,Masters,XYZ School,Self-finance and brother,Yes,Brother s,Second,Approved,823
822,Engineering,Masters,,,,N/A s,First,Approved,824
825,,,,,,,Second,221g,827
826,Agricultural and Applied Economics,Masters,University of Illinois Urbana Champaign,Professor (name not mentioned),Yes,,First,Approved,828
827,Electrical,Masters,University of Missouri Kansas City (UMKC),Father,,Maternal Uncle s,First,Approved,829
828,Business Administration,Bachelors,DePaul University,Cousin,,N/A s,First,Approved,830
832,MSBA,Masters,XYZ University,Father,Yes,,First,Approved,835
834,Computer Science,Bachelors,University of Illinois,Father,,N/A s,Third,Approved,837
835,Civil Engineering,Masters,Lamar University,Father,Yes,N/A s,First,Approved,838
836,MBA,Masters,,Self,,No s,First,Approved,839
837,Hospitality Management,Masters,Iowa State University,Mother,,,First,Approved,840
838,,,St. John's University,,,,,,841
839,Computer Science,Masters,DePaul,Parents,,N/A s,First,Approved,842
840,Project Management,Masters,Northeastern University,Friend,,,Second,Approved,843
844,Computer Science,Masters,City University of Seattle,Father,,,First,Refused,848
851,MSBA,Masters,University of Hartford,Father,"$4,000 ",No,First,Refused,855
875,Structural Engineering,PhD,Caltech,,Fully funded,,First,Refused,879
902,Business Administration,Bachelors,,Uncle,,N/A s,First,Refused,906
904,Information Technology,Masters,Gannon University,Father,,N/A s,Second,Refused,908
926,,,,,,"N/A
s",Third,Rejected,930
927,Management Sciences and Quantitative Methods,Masters,University of Wisconsin Milwaukee,Father,,No s,Third,Rejected,931
928,Computer Science,Bachelors,Wright State University,Mother,Yes,N/A s,First,Rejected,932
929,Computer Science,Masters,XYZ University,Brother,,No s,First,Rejected,933
932,Geology,Masters,California State University Fresno,Father,,N/A s,First,Rejected,936
936,Computer Science,Bachelors,Minnesota State University Mankato,Father,Yes,N/A s,First,Approved,940
937,,,,,,,Second,Rejected,941
938,Master of Engineering,Masters,Texas Tech University,Father,,N/A s,Third,Rejected,942
941,Computer Science,Masters,Westcliff University,Father,,N/A s,First,Rejected,945
942,CS,Masters,Florida State University,Brother,,Brother s,First,Rejected,946
943,Business Analytics,Masters,Hofstra,Parents,,N/A s,First,Rejected,947
946,Computer Science,Bachelors,Queens College CUNY,Father,,N/A s,First,Rejected,950
947,MSCS,Masters,UT Dallas,Father,,No s,First,Rejected,951
948,CS,Masters,Illinois Institute of Technology,Father,$10k,N/A s,2,Rejected,952
949,Civil Engineering,Ph.D.,George Mason University,Brother,Yes,,Second,Rejected,953
952,MBA,Masters,Adelphi University,Father,,N/A s,First,Rejected,956
953,,,,,,,Multiple,Rejections and Approvals,957
954,Management Sciences and Quantitative Methods,Masters,Wisconsin University,Father,,No s,Second,Rejected,958
957,CIS,Bachelors,Eastern Illinois University,Father,Partial,N/A s,First,Rejected,961
958,Business Administration and Management,Bachelors,Missouri State University,Father,,N/A s,Second,Rejected,962
959,Information Systems,Masters,Northeastern University,,,,Second,,963
960,Computer Science,,,Father,,Friend and cousin,Second,Rejected,964
961,,,Penn State University,,,,Second,,965
962,Business Analytics,Masters,DePaul University,Father,Yes,No s,Second,Rejected,966
