,0
94,"
VISA refused on 29 November 2022
US Embassy, Karachi 
Interview time: 9:45
Applied to University of Bridgeport. 
Course: Masters in Business Administration 
First Attempt
Visa Officer: female 
Note: MUST READ TILL END
Vo: Q1) Give me your documents.
Me: Handed over my documents to her.
VO : Q2) So which course you are going?
Me : I am going to earn Masters in business administration and will be taking Analytical intelligence as main concentration. 
VO: Q3) What is it?? 
Me:  Explain in detail regarding course 
VO: Q4) How many universities do you have applied 
ME: I applied to 3 university name of the universities told . 
University of Bridgeport
New Mexico state university
University of North Texas
VO Q5) : So you have masters before so why not going forn higher studies ? 
Me : yes I have done MBA in feild of supply chain and now going to persue advance discipline. Mba itself is a higer degree and after MBA you have only option of PHD which is research based and I dont want to go in to research I Want  continue my career in business feild and course I am going to apply is only available as MBA specialization. 
VO Q5): Why you continue your studies after so long ? 
Little bit background: I have done my pervious masters in feild of Scm back in 2014. 
Me : Yes I took intensional gap to experience my own feild  adding to this. I felt my profile  worth and position is not growing as in was remained in same position . Now MNC and good companies are searching for people have and advance learning experience like ERP applications. And with this course I will be able to add worth to my profile and enough capable to serve my home country. Also I felt there are very limited options in my home country regarding this course. And to a career oriented employee like me we need to always upgrade our knowledge and learning to sustain in market in this competitive era. 
VO : ohkyyyy
VO:  f2 Questions : Sir what are you doing ?
ME: told about business
VO : how long you stay :
Told : Max 20 days to get her settle down , for moral support. We will be back Me and My son . Becx I have some major responsibility towards my business. 
VO: Q6. Who is your sponsor? 
ME: . My husband will be take care of all my expenses also I got scholarship .
Vo : Keep silence for 2 mins. Scan passport twice and issued white slip. 
Interview was very smooth I answered all question very confidentely. 
Please suggest should we go for second attempt? Or what are the concerns or any suggestions regarding this. 
 She did not ask a single question about statement. University? Why USA?
"
95,"
Hello, today my visa got refused for masters program under 221 g pending completion of administrative processing. I got an email from embassy asking for these requirement shown in the pic. They have also returned my passport. Anyone gone through the same process……can someone assist me with these steps how long does it takes after submitting documents and what do they mean by detailed study plan and advisor/mentor’s CV.
mNPIMq.com
Aseem
Hello, today my visa got refused for masters program under 221 g pending completion of administrative processing. I got an email from embassy asking for these requirement shown in the pic. They have also returned my passport. Anyone gone through the same process……can someone assist me with these steps how long does it takes after submitting documents and what do they mean by detailed study plan and advisor/mentor’s CV.
"
96,"
Hello everyone!
Does Canadian student visa gets affected if I’m refused US visa twice?
Visa interview experiences
1st attempt:
Visa 
officer only asked me about two question
Why US and your future plans 
2nd interview 
Officer did asked me some questions but in the end he said that I haven’t made any changes to my profile. 
I don’t know what mistakes I have done and now I’m considering applying US as well as canada but I’m bit confused about the visa chances.
Need Serious suggestions.
Thank you.
"
97,"
My brother's visa got approved today. 
* Isb Embassy
* 9am slot ( He reached the embassy at 10)
* University of Minnesota, Mankato
* BS 
International Business 
* 8k $ scholarship
* Matric 93%
* Fsc 93%
* Duolingo 125
E: Good Morning Sir
VO: Morning. Put your fingers on the fingerprint sensor. 
E: Why are you going to US?
VO: To pursue my undergrad degree at University of Minnesota, Mankato
VO: Who is sponsoring you?
E: My father is sponsoring me.
VO: Explain the business nature in detail?
E:    *explained*
VO: Any relatives in the US?
E:  Yes, my elder brother is currently pursuing his Masters degree at *** University
VO: Congratulations. I'm approving your visa. Welcome to the United States of America.
.
.
.
.
.
There were 100+ F1 candidates and around 6 were approved.
"
98,"
Interview Experience.
Note: Long Post.
2 times rejected within 14 days.
16-08-2022 and 23-08-2022
Both 
time was female officers
3rd attempt
Status:
#Approved
 Alhumdulillah 
Embassy Islamabad
Slot:8am
Date:07-10-2022
Passport received:12-10-2022
Vo was a male with long beard.
Same profile, Nothing changed anything.
Me:Hey Good Morning How are you doing? 
Vo:Good Morning yes i am fine what about you?
Me:Yes i am also fine thanks for asking with smile like this
Vo:Looked at me  and said oh good to know.
Vo: Why you choose illinois?
Me: I select this university due to its excellent academic environment and wide range of specialization and they have outstanding facullty
staff members,moreover i got motivation from the alumni as they are serving in world wide top organizations as well as course structure 
attract me to select this university.
Vo:Well, What is your last degree?
Me: Bachelor in Computer science.
Vo:What is the name of that school?
Me:Told
Vo:What Happened last time?why you rejected?
Me: I dont know the exact reason may be i could not satisfy the officer. even i shocked when i see the yellow paper but at this time you
people are the judge so i have to admit the result.
Vo: Looked at me and said Ok Well Whats your future plan?
Me: Right after compeleted my studies i will come back to Pakistan and will open my own software house and then i will work with the
cooperate sector
Vo:Looked at me and asked what is cooperate sector?
Me:told about cooperate sector.
Vo:So your father is sponsering you?
Me:Yes My Father
Vo: Typing typing and Typing and then asked what does your father do?
Me:told
Vo:How Many emplooyes?
Me:told
Vo: why drivers in your father's business?
Me:For pickup the loads and for the delivery
Vo:How Many siblings?
Me:I have 2 bro and 2 sis all of them are happily married else me
Vo: What Does your brother do?
Me: Both brothers are doing their own business same like the Father's business category but you can say type is different.
Vo: Ok i got it. Typing typing typing and then asked who have higher grades in your home?
Me: to be honest i have keen interest in studies so among all of my siblings i have good grades :
Vo: Looked at my i-20 and asked how you will manage this huge amount?
Me: As i told you that i have keen interest in studies so my father motivate me that if you really want to study then go for it
dont worry about the fee and expenditure. and my father have enough saving for my 28 months trip so he can easily manage.
Vo: Typing almost for 1-3 min and handed my blue slip and said you seems like well preapared today. Have a nice time in US.
Me: You made my Day Thank you. Have a nice Day.Bye
Vo: Thank you and you too.
I was so excited when he handed me the blue slip even I can’t walk properly with the excitement what i mean is i was weeping with happiness 
 mtlb uper se ly kr bhir any tk even waiting area any tk m boht bytab tha k gahr m call kr k btaon kisi tarha asap!
But Alhumdulillah sab boht acha hua and i wish for all k Allah pak sab ko kamyab kary
Ameeeeeen.
"
99,"
Hello Everyone, I am sharing my experience visa  interview.
please give some suggestion, what I did mistake in my interview.
#VisaRefused
#1stAttempt
My Visa Experience… 
See more
"
100,"
VISA INTERVIEW EXPERIENCE 
Please keep this Anonymous!!!!!!
Date 04 Nov, 2022
Time 8:30 Am
Officer was a young female. 
ME: Hello
VO: Can I have you documents?
ME: Sure Sir! 
VO smiled.
ME: SORRY Ma’am. 
VO: Smiled again and said “it’s okay atleast you apologised”
VO: So which university are you going to?
ME: Virginia Polytechnic Institute and State University or commonly called as Virginia Tech. 
VO: What level of study?
ME: Masters
VO: In which Subject?
ME: In Civil Engineering.
VO: And what will be your Concentration?
ME: Construction Engineering and Management. 
VO: Where did you complete your bachelor from?
ME: UET Peshawar.
VO: Will you be doing any research Project?
ME: Yes hopefully.
VO: And what research will that be?
ME: I’ll do research on BIM and Sustainability. 
VO: Okay I see. So who’ll be paying for you studies. 
ME: My Father. 
VO: So what kind of business man is he?
ME: No Ma’am, he’s not a business man. He is a ________ in ______. 
VO: Sorry what? 
ME: Repeated.
VO: Woah!! So is he like a Doctor?
ME: Yes exactly. 
VO: Why is he working in _______?
ME: Better opportunity I guess.
VO: Okay. I see you have relatives in the US.
ME: Yes ma’am but not any immediate relatives. Just extended family.
VO: Like who?
ME: Cousins and some aunts and uncles. 
VO: Are they in Virginia?
ME: No. 
VO: Okay I am approving your Visa. 
ME: Thank you!
NO other documents asked during the interview. 
I saw a post a day or two ago of someone mentioning their experience of the same date. They said that no one got approved. I just want to say that don’t get distracted by such comments. I was interviewed early and was out of the embassy by 8:30 and before me three people got approved. 
All I can say from my experience that University matters alot and never lie on DS-160. A lot of people on the group say that don’t disclose any relatives in the US. Half of my family is there and are citizens but when asked I told them the truth. 
Don’t let anyone discourage you. Apply to good, high ranked Universities, don’t lie on the DS-160, and always ALWAYS pray to Allah. And In Sha Allah youll get the visa. 
#visaapproval
"
101,"
F1 Visa Interview Experience:
Status: Approved (Islamabad Embassy, 31st may 2022)
Course: PhD in Civil and Environmental Engineering
VO: Hi, how are you, place your 4 fingers on scanner and pass me your documents.
Me: 
Okay sure
VO: Whats your school name?
Me: Rowan University 
VO: Why rowan university?
Me: Actually it has a department known as Rowan CREATEs which has modern lab facilities and highly qualified professors. The research being...(interrupted)
VO: Whats your area of research?
Me: Asphalt materials or road materials
VO: What will you do in research?
Me: I will work on improving the properties of asphalt against the adverse impact of..(interrupted)
VO: How will you pay for your study?
Me: I have received graduate assistantship or fellowship. Thats how i will pay (inner me: not a good line to end)
VO: Show me your advisor info and your CV
Me: okay I have CVs. Here you go.
VO: is that your Advisor's CV? (Pointing finger towards the document)
Me: Yes, this CV is of my advisor dr. (xxxxxx) and this is mine.
VO: Congratulations your visa is approved. 
Me: Thank you
VO:have a good day.
Me: Thank you
Overall it was a good experience. During my whole stay, I saw almost everyone getting visa approval. there was only one rejection and one AP case. I suggest everyone to stay calm and be confident. Dont take the rejection posts personally, only take them as guidance.
"
102,"
F-1 Visa Interview
Status: Refused 214 (b)
Westcliff University
Program: Doctor of Business Administration
Me : 
Good Morning
VO : Good Morning! Pass me your I-20 and passport.
Me : Yes sure. 
VO : Scan your left hand fingers then right hand fingers and then both thumbs. 
Me : Sure.
VO : Why did you choose Westcliff university?
Me : Told
VO : Why did you choose this program?
Me : Since MBA is no longer sufficient nowadays (interrupted)
VO : How can you say that MBA is not sufficient? A lot of people are working at higher positions and they do not require doctorate programs to further grow in their jobs.
Me : Confused for 2-3 sec, DBA is an advanced degree and it will give me competitive advantage as the job market is completely saturated and it is getting difficult to stand out from the crowd.... (Interrupted)
VO : Did you travelled before? 
Me : No sir. 
VO : Why?. 
Me : I didn't get the opportunity.
VO : Why? You should have created the opportunity.
Me : I was also busy in my studies so didn't think of it.
VO : What do you do for living?
Me : Working as a Finance Officer in xyz company.
VO : Since how long?
Me : Jan 2022
VO : Why are you leaving your job so early?
Me : I found no scope in my job.... (Interrupted)
VO : It's been only 6-7 months, how can you say that?
Me : Going to answer that but VO moved to the next question.
VO : Which universities did you apply besides Westcliff?
Me : told
VO : Typing continuously from the start and handed me the white slip.
Kindly help me out what mistakes were done here and what should I do for my 2nd attempt.
"
103,"
2nd Attempt
Visa status: Refused
Vo: New Young Clean shave Guy
Date: 10 August 2022
Me: 
Good morning sir, (friendly said).
Vo: Good morning, How r you?
Me: I'm Good.
Vo: What the purpose of trip?
Me: I'm going to pursue my Bachelor's in Bussiness Administration and Managment.
Vo:Where?
Me: Troy University, Alabama
Vo:whose sponsoring?
Me: My father but this time he transferred first year Fee in my Personal Account, I have ri8 now.
Vo: What he do?
Me: he's a contractor and owns the construction company with the name of xyz.
Vo: what he actual do?
Me: We made a houses,schools,parks,roads and buildings.
Vo:Any travel history?
Me: No, sir.
Vo: Any relitive in US?
Me: No sir.
Vo: what's ur plan after your degree?
Me: After getting my degree I have strong intension to came back pak and handle my father's businesses and expand into Extreme level.
Vo: Typing something
and said sorry i can't give you visa r8 now under section 214
Vo officer is new in embassy and he listens your answers and also react like conservation not like interview.
Suggestion: Answer your question briefly (jitna lamba ho sky). And talk like he's your Friend and then get your Visa ...
And always Remember
Jo hoga Manzoray khuda hoga
aur ese main bhtri hogi
Believe me you get your visa easily.
Best wishes for applicants 
"
104,"
I had a visa interview at US Embassy Islamabad today and got it approved.
VO: Good morning Sir, Can I have your I-20 please?
Me: Sure Sir, here it is.… 
See more
"
105,"
Interview Date 5th December
Status : Approved
Visa Officer was lambi Daarhi wale uncle.
VO: Good Morning
Me : Good Morning, Officer
VO: 
Pass me your Documents ( I20, DS160 Confirmation, Sevis fee Confirmation)
*VO going through  Documents*
VO: why You're going to US?
*Started typing*
Me : to persure my masters in Engineering with concentration in civil engineering.
VO: why you want to do Masters? Why in civil engineering?
Me: Explains the Background of BS.....and tell him about Research Intrests and bring his attention towards the funding.....
*again typing*
VO: Oh, You have a Graduate assistantship. Do you have offer letter?
Me: Yes, Passed him the letter
VO: Check the offer letter 
*again started Typing and took a pause of 1 minute* 
*then said, Enjoy your trip to US
Best of luck for your studies 
Passed me the Green slip*
"
106,"
Visa APPROVED.
Location: US Consulate General Karachi
Program: Data Science
University: Stevens Institute of Technology.
First attempt.
We greeted each other.
VO: pass me documents
I passed.
VO: Why this univesrity?
Because data science program at Stevens is offered by mathematics department which adds a lot value to my teaching career back here in Pakistan.
Which all universities did you apply?
I applied to Pace University and got the admission too.
Where did you do BS from?
Institute of Business Administration Karachi.
Why not do the MS from your own country?
My future goal is to teach data science and machine learning in Pakistan and a degree from US help me with it a lot.
Who is sponsering you?
I have to scholarship plus I have taken student loan.
Do you have any relatives in the USA?
No, I don't.
What will you do after completing studies?
I want to come back and teach at IBA or LUMS.
And he said, sir your visa is approved and you'll be sent your passport within 2-4 business days
That's it. Interview lasted for 2-3 minutes.
TIP: Make your answers 'I'll return back to home country' oriented. Say I'll return after studies without saying I'll return after studies.
"
107,"
F1 Visa Interview Experience
Embassy: Islamabad
Date: 2nd June 2022
Status :  ALHAMDULILLAH Approved
VO 
was a Chinese leady.
Questions of VO:
Me: Good morning 
VO: Good morning, pass me your documents and put your fingers on biometric.
VO: What is the name of your University?
Me: University of Albama.
VO: What is your reach are?
Me: Civil engineering and I will be focusing on novel adsorbent for for wastewater treatment.
VO: Why this University?
Me: I have chosen this university because of my  Supervisor research area. I emailed my resume and discussed about her new projects. After having discussion with me SV then I applied to this University.
VO: Who is sponsoring you?
Me: I'm have been offered Graduate  Assisstantship and there is just gap of 3000$ which will be sponsored by my Father.
 VO: You previous degree was I. Civil engineering?
Me: Yes.
She started typing and I was waiting for her answer.
After 30 seconds she sais congratulations your Visa is approved.
Based on my experience: They are very expert can judge you from your profile,  the University where you applied and answers you gave during interview.
Try prepare your documents and application by yourself. 
Agents are after all agents.
I think mosly, AP main sirf un ko dall rahay hain jin ki degrees Technology Altert List (TAL) may under aty hain
Bashak wo fully funded scholarship pay hun
"
108,"
F1 visa interview: April 06, 2021 
Location: Karachi
Me: Good Morning! How're you?
VO: 
Morning... I am great... So where are you going, looking at my I-20……Hmm, you're going to University of Massachusetts Amherst.. great
Me: thank you
VO: Which program you applied?
Me: Chemical engineering PhD program
VO: who's providing you funds?
Me: I have assistantship to cover all my expenses.
VO: congratulations, for full coverage
Me: thank you
VO: currently what're you doing?
Me: working as Process Engineer in ABC company.
VO: what's your plans after program completion?---- Meanwhile, he started typing on his computer.
Me: I will come back to Pakistan and I want to work with academia and industry.
VO: ok... congratulations, your visa is approved. Welcome to USA....
Let me check some dates... Oh,.. you actually applied before more than 120 days of your course starting date... So don't worry,,, your visa  is approved. However, you'll receive your visa in May first week ... which I allahamdullah received:)
Interview finished within a minute or two.
VO was very nice during this whole process.
Wish all the best for those in line:)
"
109,"
I got accepted in Mississippi State University with 100% scholarship ( $25000 per year ). ( family contribution : $18000 )
- no relative abroad 
- Father owns a software and IT company ( in Pakistan and Dubai ) that I will join after my graduation. ( also matches my major )
-about $200,000 assets and pkr 900,000 monthly salary of father .
-Very High grades and test scores 
-Went to Dubai for a trip 2 years ago
-above average english
I wanted to know what are the chances of my visa approval .
Thanks in advance
"
110,"
Hi, I was refused 214(b) by the infamous Chinese/Asian V.O at Karachi consulate. Today 10-06-2022. I am sharing his questions and my answers, please guide what mistakes have I made. And when can I take another appointment at the earliest. 
Q1. What are you doing presently?
Ans: I am working as a Stack Developer (MERN) Stack application developer, this technology stack is based on JavaScript
The 
company with which I am working has their own products we deploy them as well, you have started here recently what were you doing earlier,? for three months I was working on my own and did projects, worked on my skills. Before that I worked for 3.5 years as an Automation Engineer at a pharmaceutical firm.
Q2. What are you going to study?
Ans: I am going to study, my Masters in Computer Science, in what field specifically in computer science? I replied Mobile Application Development, I want to focus on creation of Apps for Disabled People, having more accessibilty option.
Q3. Tell me about your family?
Ans: My parents and a younger sibling.
I stopped here, and I believe should have said more, he kept on typing and then rejected me.
Please guide me, what should I do to improve, my profile is as follows:
1. BS Electronic Engineer (CGPA: 3.06/4) 2016 Graduate.
2. Post Graduate Diploma in Computer Science 2020-2021.
3. IELTS (7.5/9)
No significant gaps in my education or career. One thing I would note is that the officer was uninterested in conducting the interview and was not interactive in the sense that, common questions were not even asked, Why US, Why this University, Who is sponsoring you. 
I have interacted with other students and this officer has rejected a number of candidates, he was not even reponsive to a Hi/Hello, rather I felt that he just wanted to get rid of us as soon as possible. I am really saddened, today worked really hard for this. Please guide me and also when should I reschedule.
"
111,"
#VisaRefused
 
Today was my interview at Islamabad consulate at 8 am
No greetings 
Vo: Pass me your documents
me: Sure
Vo: 
What's that ( I attached extension letter from uni) 
me: I explained that it was mentioned that you should have extension letter with you if your appointment is after course start date
Vo: Ok, look at my letter for few seconds, then she asked which university are you going to
me: Told 
Vo: what's your future plan
me: As such i don't have future plans but  I will do masters in software engineering
Vo: Tell me how did you apply to USA
me: I applied through common app and I wrote college essay, my school consulor help me in this process
Vo: typing for few minutes then she asked how did you find this uni?
me: I told her that i applied to 17 uni i got accepted into 14 of them this uni offer more scholarship that's why i chosed this.
vo: How much scholarship did you received?
me: 41k$ yearly
vo: Again she was typing for 2 minutes and she said tell me about your siblings
me:  I told her that my brother is doing bachelor form uni in itlay
vo: Ok , again sher start typing after few seconds she looked at my extension letter again and then she said who is going to sponsor you?
me: I tell her that my father is my sponsor and tell her his job
Vo: What?
me: tell her again
vo: Could you speak little bit slow
me:ok, and tell her again
vo: one more time
me: This time i tell her very slowly
Vo: then she start typing Again and she asked have you travel to USA before
me: No
Vo: Have your parents travel USA?
me:No
Vo: why you haven't travel to any county?
me: I told her that I was in boarding school and haven't got any opportunity to travel abroad.
Vo: okay, tell me about your boarding school
me: Told
Vo: Again she start typing and after 1 mint she hand over me yellow slip by saying at a time USA law are very strict we are not issuing visa
Me: No objection, left the counter with greetings Have a nice day officer
Vo: She passed a smile and said thanks
I got refusal under 214b. My interview last for almost 15 minutes.I was hoping that sher will approve my visa but she didn't. Do you guys point out my mistakes and let me know
Do i apply again?
"
112,"
Visa interview
Islamabad
Texas A&M university
5th Aug: 11:30am
Vo: Hello
Me:hello sir 
Vo: i need u to do your finger prints. (Messed up with left hand once)
Me:done
Vo: alright pass me those documents.
Me: here
Vo: so why are you going to the Us?
Me: I'm going to pursue my bachelor's degree in health sciences at texas a&m university.
Vo: how many universities did you apply to?
Me: about 13 universities, I got accepted from a few.
Vo: and which ones did u get accepted from?
Me: i got accepted from the university of Hartford, texas a&m and university of---uh and I had a correspondence with the Baylor university.
Vo: ok, so why did you choose this university?
Me: well it has quite good ranking regarding my course, its listed as the 28th best medical university in terms of health care management and in biological scien---
Vo: alright so do you have any relatives in the Us?
Me: Yes, an uncle of mine lives there with his family.
Vo: where do they live?
Me: Irving (accident said the old address)
Vo: California?-- what state?
Me: no not California, its in Dallas at Texas.
Vo: alright and what does he do?
Me: his work is associated with transport but I don't really know much about that.
Vo: oh okay, so whose going to sponsor you?
Me: my father will
Vo: and what does he do?
Me: told
Vo: (going though my docs) have you ever been to the Us before?
Me: yes, twice
Vo: okay. (Keeps typing and looking through stuff for about a minute or two).
Vo: alright, I'm approving your visa, but we'll be keeping your passport for further processing. You will receive it within 1-2weeks.
There were some 30 candidates I saw that day and out of them only 2 girls & me myself got approved. One common thing between me and one of those girls was that we both had been to the Us before. Me twice for visiting and her for her bachelors(now going for masters I believe).
"
113,"
F-1 Visa Interview Experience
Karachi Consulate
Date: 30-1-2023
Profile:
Duolingo:125
Community College: Highline College
Major: Computer Science
Visa Status:Rejected
Age:16
Counter no: Don't remember, but I think it was 6
Visa officer appearance: A healthy American officer without glasses in his 30s
Time: 8:45 A.M
The ground for rejection I think is not being confident and not showing enough ties to Pakistan. Another reason I think it is for community college as I am not able to get admission in a university because I am under qualified (11th grade). I know it's stupidity to apply for visa for Community College but I will be saving two precious years of my life.
VO: Why are you going to USA?
Me: I am going to USA to pursue my education in Computer Science at Highline College
VO: Ok, what will you do after your 2 year program?
Me: I will transfer to Washington State University ( he interrupted me here and I wanted to say more that I will come back to Pakistan after completing my studies and my future plans. The reason I think I was under confident and I have stammering problems).
VO: Have you applied to WSU?
Me: No, I haven't ( he interrupted me here also. I wanted to say that I am in the grade 11 and I am under qualified to join the university, but joining to CC will help me to save precious years of my life. The reason why I was unable to say because I am under confident and I have stammering problems)
VO: How will you finance your education?
Me: I was telling my answer and he gave me a slip that you were rejected under 214(b).
It was my first attempt for visa interview, the whole process was smooth till the biometrics and there were not many people for the interview. A girl on another counter which seemed to be very confident got her visa approved and their conversation was very relax. So, I thought I will get my visa if I get a chance to convince the visa officer. But the whole situation changed in a moment and I was not able to face the situation because the interviewer is asking questions in hurry, I lost my confidence and I am only 16 and it was my first time.  I know I am making excuses, I have prepared a lot for my interview but I have stammering problem and the interview was only under 45 seconds.
My education plan is to study at Highline Community College and my major is Computer Science. The reason why I have chosen this community college is because I want to get admission in University of Washington, which is the world class university. Some people will say, complete your education till grade 12 and then apply directly to this university. But let me give you an interesting fact, the admission rate for international students for CS Programme for University of Washington (Direct to major) specifically is 4% only, whereas the transfer rate for CS Programme from this community college is 98% and these are real numbers. Some people will say now, apply visa for a university and then transfer to this community college. But I don't want to put myself in this hassle. The whole process from start to end, from admission to visa documents, was done all by myself and I don't hire any consultant. 
Should I reapply for visa, what you guys suggest?
#visarejected
 
#interviewexperience
 
#karachi
"
114,"
#ALHAMDULILLAH_VISA_APPROVED
F1 VISA INTERVIEW EXPERIENCE
PROFILE:
CGPA: 3.2
BE 
(MECHANICAL), 
DHA SUFFA UNIVERSITY KARACHI
2 YEARS INDUSTRIAL EXPERIENCE AS A DESIGN ENGINEER 
PROGRAM APPLIED: UNIVERSITY OF DAYTON, MS MECHANICAL 
Interview Date & Time: November, 27, 2020 (7:45 am)
Location: Karachi Embassy
Me: Good Morning 
VO: Good Morning pass me your i20 and passport 
VO: Tell me about your program?
Me: I have got admission for Masters in Mechanical Engineering at University of Dayton. 
VO: Program is research based or course work?
Me: it's a research based. 
VO: Do you have study plan? 
Me: I have Statement of purpose. 
VO: in which area you would be doing research?
Me: my father owns agricultural farm so I want to start my own business for the manufacturing of equipments use in agricultural industry. That's why I want to carry out a research in design Methodologies and manufacturing technologies. 
VO: Do you have any experience in past? 
Me: yes after my graduation I have worked for 2 years in industry to get practical experience since then I am working with my father. 
VO: how many siblings do you have?
Me: told
VO: who's is sponsoring you?
Me: My father
VO: How much money your father makes? 
Me: told about my father business and income
VO: any relative an America?
Me: No
VO: Have you ever been abroad?
Me: yes Saudi Arabia
VO: for Hajj or Umrah?
Me: for Umrah
After typing for few minutes.... 
VO: congratulations I am approving your visa I am keeping your passport you should keep your i20 and sevis fee receipt along with you when travelling. Have a safe journey.
Me: Thank You So much sir! 
Suggestions based on personal experience:
1st During visa don't talk about something which trigger Technology Alert List (TAL) (
https://www.vanderbilt.edu/.../visa.../technology-alert/
) 
2nd UN has 17 goals to be achieved by 2030 check here (
https://www.un.org/.../desa/disabilities/envision2030.html
) if anyone some how can relate his/her program with these goals has higher chances to get visa on very 1st interview.
"
115,"
#f1visaapproved
 
INTERVIEW EXPERIENCE 
Embassy islamabad 
VO was a long beard American Guy
Date: Dec 7 2022
Status: Approved 
PROFILE: 
Intermediate in Accounts
In 2019. 
Minnesota state university Mankato. 
Duolingo 120.
Slot 10 Am. 
When I enter in embassy I've seen my some friends and other students hold the rejected slip then I was very nervous. One of my friend told me please do not give interview to the women's, he got rejected from Korean looking auntie she was very strick and rejected to almost every one. 
I did my finger prints on scanner and then security guard guide me to sit at chair no 2 in front of korean women. After 2 minutes I changed my seat and sit down in the front of long beard guy, I was much nervous because the rejection ratio of 7 December was very high. 
Now my turn long beard guy approved 2 boys front of me. 
Me: Good morning officer, how is your day going. 
VO: I am doing good thank you and asked me for my documents.
VO: what did you want to study in United States?
Me: I want to pursue my beachlor degree in computer science at Minnesota state university Mankato. 
VO: Why you select usa?
Me: well, a degree from USA is itself a gurentee of successful carrier. Us  degree recognized throughout the world for their excellence. Us education systems has best academic and social environment. There are lot of practicle and research Centre so it will me for hands on training and practicle learning. 
VO: What do you currently?
Me. Currently I'm preparing for my further studies in United States. 
VO: Good. Who is your sponsor ?
Me: well, I got approximately 45% scholarship and after that they will charge me 5500 dollars per semester, so my father is my sponsor.... Vo interupt me. 
VO: What does he do?
Me: He is a business man. He is selling Scottish clothing include Scottish musical instruments... VO interupt me. 
VO: oh Scottish musical instruments, what is the name of your father business. 
Me: Told. Then officer typing 2 minutes on his computer. 
VO: is your father sell that product locally? 
Me. No officer, my father sell their products world wide. He is also working on etsy and eBay. 
Vo: oh that's great. 
Me: officer are you know about scottish clothing? 
Vo: yes, I also wears kilts and  jackets. 
Me: oh that's great. 
VO: How many workers working under your father business?
Me: Approximately 45 workers working for their manufacturing unit and 12 members working for their e-commerce website and online stores. 
VO: very good. How many siblings do you have? 
Me. Told 
VO. Tell me your birthday date?
Me. Told
Where do you born?
Me. Told
And then officer typing for 1 minutes and after that he gives me approval slip and said your father business is very good and I am very amazed, and said welcome to the United States.
Me. Thanks officer have a great day.
Good luck to all of you.
If any one is studying already in minnesota state university Mankato, kindly leave a message in my inbox I need some information thanks.
lQPmh.com
Aseem
#f1visaapproved 
INTERVIEW EXPERIENCE 
Embassy islamabad 
VO was a long beard American Guy
Date: Dec 7 2022
Status: Approved 

PROFILE: 
Intermediate in Accounts
In 2019. 
Minnesota state university Mankato. 
Duolingo 120.
Slot 10 Am. 
When I enter in embassy I've seen my some friends and other students hold the rejected slip then I was very nervous. One of my friend told me please do not give interview to the women's, he got rejected from Korean looking auntie she was very strick and rejected to almost every one. 
I did my finger prints on scanner and then security guard guide me to sit at chair no 2 in front of korean women. After 2 minutes I changed my seat and sit down in the front of long beard guy, I was much nervous because the rejection ratio of 7 December was very high. 
Now my turn long beard guy approved 2 boys front of me. 
Me: Good morning officer, how is your day going. 
VO: I am doing good thank you and asked me for my documents.
VO: what did you want to study in United States?
Me: I want to pursue my beachlor degree in computer science at Minnesota state university Mankato. 
VO: Why you select usa?
Me: well, a degree from USA is itself a gurentee of successful carrier. Us  degree recognized throughout the world for their excellence. Us education systems has best academic and social environment. There are lot of practicle and research Centre so it will me for hands on training and practicle learning. 
VO: What do you currently?
Me. Currently I'm preparing for my further studies in United States. 
VO: Good. Who is your sponsor ?
Me: well, I got approximately 45% scholarship and after that they will charge me 5500 dollars per semester, so my father is my sponsor.... Vo interupt me. 
VO: What does he do?
Me: He is a business man. He is selling Scottish clothing include Scottish musical instruments... VO interupt me. 
VO: oh Scottish musical instruments, what is the name of your father business. 
Me: Told. Then officer typing 2 minutes on his computer. 
VO: is your father sell that product locally? 
Me. No officer, my father sell their products world wide. He is also working on etsy and eBay. 
Vo: oh that's great. 
Me: officer are you know about scottish clothing? 
Vo: yes, I also wears kilts and  jackets. 
Me: oh that's great. 
VO: How many workers working under your father business?
Me: Approximately 45 workers working for their manufacturing unit and 12 members working for their e-commerce website and online stores. 
VO: very good. How many siblings do you have? 
Me. Told 
VO. Tell me your birthday date?
Me. Told
Where do you born?
Me. Told
And then officer typing for 1 minutes and after that he gives me approval slip and said your father business is very good and I am very amazed, and said welcome to the United States.
Me. Thanks officer have a great day.
Good luck to all of you.
If any one is studying already in minnesota state university Mankato, kindly leave a message in my inbox I need some information thanks.
"
116,"
Interview date: 14th July, 2022
Consulate: Islamabad
Attempt: First
Status: Refused
VO: what are you going to study?
ME: 
I am going for a Masters in Environmental Studies.
VO: Why Lamar University?
ME: I have chose this uni because it is home to two advanced public research centers for the environmental studies( then he interrupted me like he asked for the next question).
VO: How will you pay for this?
ME: My father.
VO: What does he do?
ME: He runs a construction firm.
VO: And what do you do?
ME: I am currently working as a junior Environmentalist.
VO: For Whom?
ME: For EarthTech Engineering Services.
VO: Ok thank you try next time.
Need your kind suggestion and guidance.
"
117,"
Hi everyone
I got accepted to University of Texas at Austin for an MSc degree in Structural Engineering. I didn't got any funding and my uncle will be sponsoring or financing my studies.
I have received my i20 and now i am worried about my vissa rejection. Specifically for the finances part.
Any suggestions for interview or will i face any problems for the finance part.
Further, My uncle uses current account and not savings.
"
